vehicleID,laneID,time(s),lateralDistance(m),longitudinalDistance(m),velocity(km/h),acceleration(m/s^2),vehicleLength(m),vehicleWidth(m)
4,4,0.4,8.190000000000001,337.94,26.76,-0.15,4.24,1.92
4,4,0.44,8.2,339.02,26.76,-0.15,4.24,1.92
4,4,0.48,8.21,340.1,26.75,-0.15,4.24,1.92
4,4,0.52,8.21,341.19,26.75,-0.16,4.24,1.92
4,4,0.56,8.219999999999999,342.26,26.74,-0.16,4.24,1.92
4,4,0.6,8.23,343.33,26.73,-0.16,4.24,1.92
4,4,0.64,8.23,344.40999999999997,26.73,-0.17,4.24,1.92
4,4,0.68,8.239999999999998,345.49,26.72,-0.17,4.24,1.92
4,4,0.72,8.239999999999998,346.56,26.71,-0.18,4.24,1.92
4,4,0.76,8.25,347.63,26.71,-0.18,4.24,1.92
4,4,0.8,8.25,348.7,26.7,-0.18,4.24,1.92
4,4,0.84,8.260000000000002,349.76,26.69,-0.19,4.24,1.92
4,4,0.88,8.260000000000002,350.81,26.69,-0.2,4.24,1.92
4,4,0.92,8.27,351.88,26.68,-0.2,4.24,1.92
4,4,0.96,8.27,352.94,26.67,-0.21,4.24,1.92
4,4,1.0,8.27,354.02,26.66,-0.21,4.24,1.92
4,4,1.04,8.280000000000001,355.09,26.65,-0.22,4.24,1.92
4,4,1.08,8.280000000000001,356.15999999999997,26.65,-0.23,4.24,1.92
4,4,1.12,8.280000000000001,357.23,26.64,-0.23,4.24,1.92
4,4,1.16,8.280000000000001,358.3,26.63,-0.24,4.24,1.92
4,4,1.2,8.29,359.36,26.62,-0.25,4.24,1.92
4,4,1.24,8.29,360.43,26.61,-0.25,4.24,1.92
4,4,1.28,8.29,361.5,26.6,-0.26,4.24,1.92
4,4,1.32,8.29,362.58,26.59,-0.27,4.24,1.92
4,4,1.36,8.29,363.65999999999997,26.58,-0.28,4.24,1.92
4,4,1.4,8.29,364.73,26.57,-0.28,4.24,1.92
4,4,1.44,8.29,365.78999999999996,26.55,-0.29,4.24,1.92
4,4,1.48,8.29,366.84,26.54,-0.3,4.24,1.92
4,4,1.52,8.29,367.89,26.53,-0.3,4.24,1.92
4,4,1.56,8.29,368.95,26.52,-0.31,4.24,1.92
4,4,1.6,8.29,370.01,26.51,-0.32,4.24,1.92
4,4,1.64,8.29,371.06,26.49,-0.32,4.24,1.92
4,4,1.68,8.29,372.12,26.48,-0.33,4.24,1.92
4,4,1.72,8.29,373.18,26.47,-0.34,4.24,1.92
4,4,1.76,8.29,374.24,26.45,-0.34,4.24,1.92
4,4,1.8,8.29,375.28999999999996,26.44,-0.35,4.24,1.92
4,4,1.84,8.280000000000001,376.33,26.43,-0.36,4.24,1.92
4,4,1.88,8.280000000000001,377.42,26.41,-0.37,4.24,1.92
4,4,1.92,8.280000000000001,378.5,26.4,-0.37,4.24,1.92
4,4,1.96,8.27,379.58,26.38,-0.38,4.24,1.92
4,4,2.0,8.27,380.65999999999997,26.37,-0.39,4.24,1.92
4,4,2.04,8.260000000000002,381.73,26.35,-0.39,4.24,1.92
4,4,2.08,8.260000000000002,382.81,26.33,-0.4,4.24,1.92
4,4,2.12,8.25,383.87,26.32,-0.4,4.24,1.92
4,4,2.16,8.25,384.90999999999997,26.3,-0.41,4.24,1.92
4,4,2.2,8.239999999999998,385.95,26.29,-0.41,4.24,1.92
4,4,2.24,8.239999999999998,387.0,26.27,-0.41,4.24,1.92
4,4,2.28,8.23,388.04,26.25,-0.41,4.24,1.92
4,4,2.32,8.219999999999999,389.07,26.24,-0.41,4.24,1.92
4,4,2.36,8.219999999999999,390.11,26.22,-0.41,4.24,1.92
4,4,2.4,8.21,391.15,26.2,-0.41,4.24,1.92
4,4,2.44,8.21,392.19,26.19,-0.41,4.24,1.92
4,4,2.48,8.2,393.23,26.17,-0.41,4.24,1.92
4,4,2.52,8.190000000000001,394.27,26.15,-0.41,4.24,1.92
4,4,2.56,8.190000000000001,395.31,26.14,-0.41,4.24,1.92
4,4,2.6,8.18,396.35,26.12,-0.41,4.24,1.92
4,4,2.64,8.170000000000002,397.39,26.1,-0.41,4.24,1.92
4,4,2.68,8.16,398.42,26.09,-0.41,4.24,1.92
4,4,2.72,8.149999999999999,399.46,26.07,-0.41,4.24,1.92
4,4,2.76,8.149999999999999,400.49,26.05,-0.41,4.24,1.92
4,4,2.8,8.14,401.53,26.04,-0.4,4.24,1.92
4,4,2.84,8.129999999999999,402.56,26.02,-0.4,4.24,1.92
4,4,2.88,8.120000000000001,403.59,26.0,-0.4,4.24,1.92
4,4,2.92,8.11,404.63,25.99,-0.4,4.24,1.92
4,4,2.96,8.100000000000001,405.65999999999997,25.97,-0.4,4.24,1.92
4,4,3.0,8.09,406.75,25.96,-0.4,4.24,1.92
7,3,0.0,3.54,269.45,23.39,-0.05,8.69,2.5
7,3,0.04,3.54,270.29999999999995,23.39,-0.05,8.69,2.5
7,3,0.08,3.55,271.18,23.39,-0.05,8.69,2.5
7,3,0.12,3.5599999999999996,272.09000000000003,23.39,-0.05,8.69,2.5
7,3,0.16,3.5599999999999996,273.01,23.39,-0.04,8.69,2.5
7,3,0.2,3.5699999999999994,273.93,23.38,-0.04,8.69,2.5
7,3,0.24,3.5699999999999994,274.86,23.38,-0.04,8.69,2.5
7,3,0.28,3.579999999999999,275.78999999999996,23.38,-0.04,8.69,2.5
7,3,0.32,3.579999999999999,276.72,23.38,-0.04,8.69,2.5
7,3,0.36,3.5900000000000007,277.65,23.38,-0.04,8.69,2.5
7,3,0.4,3.5900000000000007,278.6,23.38,-0.04,8.69,2.5
7,3,0.44,3.6000000000000005,279.53999999999996,23.38,-0.04,8.69,2.5
7,3,0.48,3.6000000000000005,280.48,23.38,-0.04,8.69,2.5
7,3,0.52,3.6100000000000003,281.42,23.37,-0.04,8.69,2.5
7,3,0.56,3.6100000000000003,282.37,23.37,-0.04,8.69,2.5
7,3,0.6,3.62,283.3,23.37,-0.04,8.69,2.5
7,3,0.64,3.62,284.23,23.37,-0.04,8.69,2.5
7,3,0.68,3.63,285.17,23.37,-0.04,8.69,2.5
7,3,0.72,3.63,286.1,23.37,-0.04,8.69,2.5
7,3,0.76,3.6399999999999997,287.03,23.36,-0.05,8.69,2.5
7,3,0.8,3.6399999999999997,287.96,23.36,-0.05,8.69,2.5
7,3,0.84,3.6399999999999997,288.90999999999997,23.36,-0.05,8.69,2.5
7,3,0.88,3.6499999999999995,289.85,23.36,-0.05,8.69,2.5
7,3,0.92,3.6499999999999995,290.78999999999996,23.36,-0.06,8.69,2.5
7,3,0.96,3.6599999999999993,291.73,23.35,-0.06,8.69,2.5
7,3,1.0,3.6599999999999993,292.65999999999997,23.35,-0.06,8.69,2.5
7,3,1.04,3.6599999999999993,293.61,23.35,-0.06,8.69,2.5
7,3,1.08,3.670000000000001,294.55,23.35,-0.07,8.69,2.5
7,3,1.12,3.670000000000001,295.48,23.34,-0.07,8.69,2.5
7,3,1.16,3.670000000000001,296.40999999999997,23.34,-0.07,8.69,2.5
7,3,1.2,3.6800000000000006,297.33,23.34,-0.07,8.69,2.5
7,3,1.24,3.6800000000000006,298.27,23.34,-0.08,8.69,2.5
7,3,1.28,3.6900000000000004,299.2,23.33,-0.08,8.69,2.5
7,3,1.32,3.6900000000000004,300.14,23.33,-0.08,8.69,2.5
7,3,1.36,3.6900000000000004,301.08,23.33,-0.08,8.69,2.5
7,3,1.4,3.7,302.01,23.32,-0.09,8.69,2.5
7,3,1.44,3.7,302.94,23.32,-0.09,8.69,2.5
7,3,1.48,3.71,303.87,23.32,-0.09,8.69,2.5
7,3,1.52,3.71,304.81,23.31,-0.09,8.69,2.5
7,3,1.56,3.7199999999999998,305.74,23.31,-0.1,8.69,2.5
7,3,1.6,3.7199999999999998,306.68,23.3,-0.1,8.69,2.5
7,3,1.64,3.7299999999999995,307.62,23.3,-0.1,8.69,2.5
7,3,1.68,3.7299999999999995,308.55,23.3,-0.1,8.69,2.5
7,3,1.72,3.7399999999999993,309.48,23.29,-0.1,8.69,2.5
7,3,1.76,3.7399999999999993,310.40999999999997,23.29,-0.11,8.69,2.5
7,3,1.8,3.750000000000001,311.34,23.28,-0.11,8.69,2.5
7,3,1.84,3.750000000000001,312.27,23.28,-0.11,8.69,2.5
7,3,1.88,3.7600000000000007,313.21,23.28,-0.11,8.69,2.5
7,3,1.92,3.7600000000000007,314.15,23.27,-0.11,8.69,2.5
7,3,1.96,3.7700000000000005,315.08,23.27,-0.11,8.69,2.5
7,3,2.0,3.7700000000000005,316.0,23.26,-0.12,8.69,2.5
7,3,2.04,3.7800000000000002,316.93,23.26,-0.12,8.69,2.5
7,3,2.08,3.79,317.85,23.25,-0.12,8.69,2.5
7,3,2.12,3.79,318.78,23.25,-0.12,8.69,2.5
7,3,2.16,3.8,319.71,23.24,-0.12,8.69,2.5
7,3,2.2,3.8,320.64,23.24,-0.12,8.69,2.5
7,3,2.24,3.8099999999999996,321.56,23.23,-0.12,8.69,2.5
7,3,2.28,3.8099999999999996,322.49,23.23,-0.12,8.69,2.5
7,3,2.32,3.8199999999999994,323.42,23.22,-0.12,8.69,2.5
7,3,2.36,3.8199999999999994,324.36,23.22,-0.12,8.69,2.5
7,3,2.4,3.829999999999999,325.28999999999996,23.21,-0.12,8.69,2.5
7,3,2.44,3.829999999999999,326.22,23.21,-0.12,8.69,2.5
7,3,2.48,3.8400000000000007,327.15,23.2,-0.12,8.69,2.5
7,3,2.52,3.8500000000000005,328.07,23.2,-0.12,8.69,2.5
7,3,2.56,3.8500000000000005,329.0,23.19,-0.12,8.69,2.5
7,3,2.6,3.8600000000000003,329.92,23.19,-0.12,8.69,2.5
7,3,2.64,3.8600000000000003,330.84,23.18,-0.12,8.69,2.5
7,3,2.68,3.87,331.77,23.18,-0.12,8.69,2.5
7,3,2.72,3.87,332.7,23.17,-0.12,8.69,2.5
7,3,2.76,3.88,333.63,23.17,-0.12,8.69,2.5
7,3,2.8,3.88,334.56,23.16,-0.12,8.69,2.5
7,3,2.84,3.8899999999999997,335.48,23.16,-0.12,8.69,2.5
7,3,2.88,3.8899999999999997,336.4,23.15,-0.12,8.69,2.5
7,3,2.92,3.8999999999999995,337.32,23.15,-0.12,8.69,2.5
7,3,2.96,3.8999999999999995,338.24,23.14,-0.12,8.69,2.5
7,3,3.0,3.9099999999999993,339.17,23.14,-0.12,8.69,2.5
7,3,3.04,3.920000000000001,340.1,23.13,-0.12,8.69,2.5
7,3,3.08,3.920000000000001,341.03,23.13,-0.12,8.69,2.5
7,3,3.12,3.9300000000000006,341.96,23.12,-0.12,8.69,2.5
7,3,3.16,3.9300000000000006,342.88,23.12,-0.13,8.69,2.5
7,3,3.2,3.9400000000000004,343.81,23.11,-0.13,8.69,2.5
7,3,3.24,3.95,344.73,23.11,-0.13,8.69,2.5
7,3,3.28,3.95,345.65,23.1,-0.13,8.69,2.5
7,3,3.32,3.96,346.56,23.1,-0.13,8.69,2.5
7,3,3.36,3.9699999999999998,347.48,23.09,-0.13,8.69,2.5
7,3,3.4,3.9799999999999995,348.40999999999997,23.09,-0.13,8.69,2.5
7,3,3.44,3.9799999999999995,349.33,23.08,-0.13,8.69,2.5
7,3,3.48,3.9899999999999993,350.26,23.08,-0.13,8.69,2.5
7,3,3.52,4.000000000000001,351.19,23.07,-0.13,8.69,2.5
7,3,3.56,4.010000000000001,352.12,23.07,-0.13,8.69,2.5
7,3,3.6,4.0200000000000005,353.05,23.06,-0.13,8.69,2.5
7,3,3.64,4.03,353.98,23.06,-0.13,8.69,2.5
7,3,3.68,4.04,354.9,23.05,-0.13,8.69,2.5
7,3,3.72,4.04,355.81,23.05,-0.14,8.69,2.5
7,3,3.76,4.05,356.72,23.04,-0.14,8.69,2.5
7,3,3.8,4.06,357.64,23.04,-0.14,8.69,2.5
7,3,3.84,4.069999999999999,358.56,23.03,-0.14,8.69,2.5
7,3,3.88,4.079999999999999,359.48,23.03,-0.14,8.69,2.5
7,3,3.92,4.090000000000001,360.4,23.02,-0.14,8.69,2.5
7,3,3.96,4.1000000000000005,361.32,23.01,-0.14,8.69,2.5
7,3,4.0,4.11,362.26,23.01,-0.14,8.69,2.5
7,3,4.04,4.12,363.19,23.0,-0.15,8.69,2.5
7,3,4.08,4.13,364.11,23.0,-0.15,8.69,2.5
7,3,4.12,4.14,365.03,22.99,-0.15,8.69,2.5
7,3,4.16,4.14,365.95,22.99,-0.15,8.69,2.5
7,3,4.2,4.1499999999999995,366.86,22.98,-0.15,8.69,2.5
7,3,4.24,4.159999999999999,367.77,22.97,-0.15,8.69,2.5
7,3,4.28,4.170000000000001,368.69,22.97,-0.15,8.69,2.5
7,3,4.32,4.180000000000001,369.6,22.96,-0.15,8.69,2.5
7,3,4.36,4.19,370.53,22.95,-0.16,8.69,2.5
7,3,4.4,4.19,371.45,22.95,-0.16,8.69,2.5
7,3,4.44,4.2,372.37,22.94,-0.16,8.69,2.5
7,3,4.48,4.21,373.28999999999996,22.94,-0.16,8.69,2.5
7,3,4.52,4.21,374.22,22.93,-0.16,8.69,2.5
7,3,4.56,4.22,375.14,22.92,-0.16,8.69,2.5
7,3,4.6,4.22,376.05,22.92,-0.16,8.69,2.5
7,3,4.64,4.2299999999999995,376.96,22.91,-0.16,8.69,2.5
7,3,4.68,4.239999999999999,377.87,22.9,-0.17,8.69,2.5
7,3,4.72,4.239999999999999,378.79,22.9,-0.17,8.69,2.5
7,3,4.76,4.239999999999999,379.71,22.89,-0.17,8.69,2.5
7,3,4.8,4.250000000000001,380.63,22.88,-0.17,8.69,2.5
7,3,4.84,4.250000000000001,381.54,22.88,-0.17,8.69,2.5
7,3,4.88,4.250000000000001,382.46,22.87,-0.17,8.69,2.5
7,3,4.92,4.250000000000001,383.37,22.86,-0.17,8.69,2.5
7,3,4.96,4.260000000000001,384.29,22.86,-0.17,8.69,2.5
7,3,5.0,4.260000000000001,385.21,22.85,-0.17,8.69,2.5
7,3,5.04,4.260000000000001,386.12,22.84,-0.17,8.69,2.5
7,3,5.08,4.260000000000001,387.03,22.84,-0.17,8.69,2.5
7,3,5.12,4.260000000000001,387.93,22.83,-0.17,8.69,2.5
7,3,5.16,4.260000000000001,388.84,22.82,-0.17,8.69,2.5
7,3,5.2,4.260000000000001,389.76,22.82,-0.17,8.69,2.5
7,3,5.24,4.260000000000001,390.67,22.81,-0.17,8.69,2.5
7,3,5.28,4.260000000000001,391.58,22.8,-0.17,8.69,2.5
7,3,5.32,4.2700000000000005,392.49,22.8,-0.17,8.69,2.5
7,3,5.36,4.2700000000000005,393.4,22.79,-0.17,8.69,2.5
7,3,5.4,4.2700000000000005,394.32,22.78,-0.17,8.69,2.5
7,3,5.44,4.2700000000000005,395.23,22.77,-0.17,8.69,2.5
7,3,5.48,4.2700000000000005,396.14,22.77,-0.17,8.69,2.5
7,3,5.52,4.2700000000000005,397.05,22.76,-0.17,8.69,2.5
7,3,5.56,4.2700000000000005,397.96,22.75,-0.17,8.69,2.5
7,3,5.6,4.2700000000000005,398.87,22.75,-0.17,8.69,2.5
7,3,5.64,4.2700000000000005,399.78,22.74,-0.17,8.69,2.5
7,3,5.68,4.2700000000000005,400.69,22.73,-0.17,8.69,2.5
7,3,5.72,4.260000000000001,401.6,22.73,-0.17,8.69,2.5
7,3,5.76,4.260000000000001,402.51,22.72,-0.17,8.69,2.5
7,3,5.8,4.260000000000001,403.40999999999997,22.71,-0.17,8.69,2.5
7,3,5.84,4.260000000000001,404.32,22.71,-0.17,8.69,2.5
7,3,5.88,4.260000000000001,405.23,22.7,-0.17,8.69,2.5
7,3,5.92,4.260000000000001,406.14,22.69,-0.17,8.69,2.5
7,3,5.96,4.250000000000001,407.05,22.69,-0.17,8.69,2.5
7,3,6.0,4.250000000000001,407.95,22.68,-0.17,8.69,2.5
7,3,6.04,4.250000000000001,408.86,22.67,-0.17,8.69,2.5
7,3,6.08,4.250000000000001,409.77,22.67,-0.17,8.69,2.5
7,3,6.12,4.239999999999999,410.67,22.66,-0.17,8.69,2.5
7,3,6.16,4.239999999999999,411.58,22.65,-0.17,8.69,2.5
7,3,6.2,4.239999999999999,412.49,22.65,-0.17,8.69,2.5
7,3,6.24,4.2299999999999995,413.39,22.64,-0.17,8.69,2.5
7,3,6.28,4.2299999999999995,414.3,22.63,-0.17,8.69,2.5
7,3,6.32,4.2299999999999995,415.2,22.63,-0.17,8.69,2.5
7,3,6.36,4.22,416.11,22.62,-0.17,8.69,2.5
9,4,0.04,8.280000000000001,350.65999999999997,26.57,-0.13,4.35,1.92
9,4,0.08,8.280000000000001,351.64,26.56,-0.12,4.35,1.92
9,4,0.12,8.280000000000001,352.65,26.56,-0.12,4.35,1.92
9,4,0.16,8.280000000000001,353.69,26.55,-0.12,4.35,1.92
9,4,0.2,8.280000000000001,354.73,26.55,-0.12,4.35,1.92
9,4,0.24,8.280000000000001,355.78,26.54,-0.12,4.35,1.92
9,4,0.28,8.280000000000001,356.84,26.54,-0.12,4.35,1.92
9,4,0.32,8.280000000000001,357.9,26.53,-0.12,4.35,1.92
9,4,0.36,8.280000000000001,358.96,26.53,-0.12,4.35,1.92
9,4,0.4,8.280000000000001,360.03,26.52,-0.13,4.35,1.92
9,4,0.44,8.280000000000001,361.1,26.52,-0.13,4.35,1.92
9,4,0.48,8.280000000000001,362.17,26.51,-0.13,4.35,1.92
9,4,0.52,8.280000000000001,363.24,26.51,-0.13,4.35,1.92
9,4,0.56,8.280000000000001,364.32,26.5,-0.14,4.35,1.92
9,4,0.6,8.280000000000001,365.39,26.5,-0.14,4.35,1.92
9,4,0.64,8.280000000000001,366.45,26.49,-0.15,4.35,1.92
9,4,0.68,8.280000000000001,367.51,26.49,-0.15,4.35,1.92
9,4,0.72,8.280000000000001,368.58,26.48,-0.15,4.35,1.92
9,4,0.76,8.29,369.63,26.47,-0.16,4.35,1.92
9,4,0.8,8.29,370.69,26.47,-0.16,4.35,1.92
9,4,0.84,8.29,371.74,26.46,-0.17,4.35,1.92
9,4,0.88,8.29,372.8,26.46,-0.17,4.35,1.92
9,4,0.92,8.29,373.86,26.45,-0.18,4.35,1.92
9,4,0.96,8.29,374.92,26.44,-0.18,4.35,1.92
9,4,1.0,8.29,375.98,26.43,-0.19,4.35,1.92
9,4,1.04,8.29,377.05,26.43,-0.19,4.35,1.92
9,4,1.08,8.29,378.11,26.42,-0.2,4.35,1.92
9,4,1.12,8.29,379.19,26.41,-0.2,4.35,1.92
9,4,1.16,8.29,380.26,26.4,-0.21,4.35,1.92
9,4,1.2,8.29,381.32,26.39,-0.21,4.35,1.92
9,4,1.24,8.29,382.38,26.39,-0.22,4.35,1.92
9,4,1.28,8.29,383.44,26.38,-0.22,4.35,1.92
9,4,1.32,8.280000000000001,384.5,26.37,-0.22,4.35,1.92
9,4,1.36,8.280000000000001,385.55,26.36,-0.23,4.35,1.92
9,4,1.4,8.280000000000001,386.6,26.35,-0.23,4.35,1.92
9,4,1.44,8.280000000000001,387.65999999999997,26.34,-0.23,4.35,1.92
9,4,1.48,8.280000000000001,388.71,26.33,-0.24,4.35,1.92
9,4,1.52,8.280000000000001,389.75,26.32,-0.24,4.35,1.92
9,4,1.56,8.280000000000001,390.8,26.31,-0.24,4.35,1.92
9,4,1.6,8.280000000000001,391.85,26.3,-0.24,4.35,1.92
9,4,1.64,8.280000000000001,392.9,26.29,-0.24,4.35,1.92
9,4,1.68,8.280000000000001,393.95,26.28,-0.24,4.35,1.92
9,4,1.72,8.280000000000001,395.0,26.27,-0.24,4.35,1.92
9,4,1.76,8.280000000000001,396.05,26.26,-0.24,4.35,1.92
9,4,1.8,8.280000000000001,397.1,26.25,-0.25,4.35,1.92
9,4,1.84,8.280000000000001,398.14,26.24,-0.25,4.35,1.92
9,4,1.88,8.280000000000001,399.19,26.23,-0.25,4.35,1.92
9,4,1.92,8.280000000000001,400.24,26.22,-0.25,4.35,1.92
9,4,1.96,8.280000000000001,401.28,26.21,-0.25,4.35,1.92
9,4,2.0,8.280000000000001,402.33,26.2,-0.25,4.35,1.92
9,4,2.04,8.280000000000001,403.37,26.19,-0.25,4.35,1.92
9,4,2.08,8.280000000000001,404.42,26.18,-0.25,4.35,1.92
9,4,2.12,8.280000000000001,405.46,26.17,-0.25,4.35,1.92
9,4,2.16,8.280000000000001,406.51,26.16,-0.25,4.35,1.92
9,4,2.2,8.280000000000001,407.56,26.15,-0.25,4.35,1.92
9,4,2.24,8.280000000000001,408.6,26.14,-0.25,4.35,1.92
9,4,2.28,8.280000000000001,409.65,26.13,-0.25,4.35,1.92
9,4,2.32,8.280000000000001,410.69,26.12,-0.25,4.35,1.92
9,4,2.36,8.280000000000001,411.74,26.12,-0.25,4.35,1.92
9,4,2.4,8.280000000000001,412.78,26.11,-0.25,4.35,1.92
11,4,0.04,7.97,310.88,28.26,-0.77,4.45,1.92
11,4,0.08,7.9799999999999995,311.93,28.23,-0.77,4.45,1.92
11,4,0.12,7.9799999999999995,313.01,28.2,-0.77,4.45,1.92
11,4,0.16,7.989999999999999,314.11,28.17,-0.77,4.45,1.92
11,4,0.2,8.0,315.23,28.14,-0.77,4.45,1.92
11,4,0.24,8.0,316.36,28.1,-0.77,4.45,1.92
11,4,0.28,8.010000000000002,317.49,28.07,-0.77,4.45,1.92
11,4,0.32,8.02,318.63,28.04,-0.78,4.45,1.92
11,4,0.36,8.02,319.76,28.01,-0.78,4.45,1.92
